,Q9,Q11,Q14,Q16,Q18,Q20,Q22
28,"a,b,a_and_b","c,d,c_and_d","b_or_d,b,d","c,a,c_and_a","c_or_b,c,b","a,a_or_b,b","a_or_d,d,a"
29,"a,b,a_and_b","c,d,c_and_d","b,b_or_d,d","c,a,c_and_a","c,c_or_b,b","a_or_b,a,b","a_or_d,d,a"
30,"a,b,a_and_b","c,c_and_d,d","b_or_d,b,d","c,a,c_and_a","c_or_b,c,b","a,a_or_b,b","d,a_or_d,a"
31,"a,b,a_and_b","c,d,c_and_d","b_or_d,b,d","c,c_and_a,a","c_or_b,c,b","a_or_b,a,b","a_or_d,d,a"
32,"a,b,a_and_b","c,c_and_d,d","b,b_or_d,d","c,c_and_a,a","c,c_or_b,b","a,a_or_b,b","d,a_or_d,a"
33,"a,b,a_and_b","c,c_and_d,d","b,b_or_d,d","c,a,c_and_a","c,c_or_b,b","a_or_b,a,b","a_or_d,d,a"
34,"a,b,a_and_b","c,d,c_and_d","b,b_or_d,d","c,a,c_and_a","c_or_b,c,b","a,a_or_b,b","a_or_d,d,a"
35,"a,b,a_and_b","c,d,c_and_d","b,b_or_d,d","c,a,c_and_a","c,c_or_b,b","a,a_or_b,b","a_or_d,d,a"
36,"a,b,a_and_b","c,d,c_and_d","b,b_or_d,d","c,a,c_and_a","c,c_or_b,b","a_or_b,a,b","a_or_d,d,a"
37,"a,b,a_and_b","c,d,c_and_d","b_or_d,b,d","c,a,c_and_a","c,c_or_b,b","a,a_or_b,b","a_or_d,d,a"
38,"a,b,a_and_b","c,d,c_and_d","b_or_d,b,d","c,c_and_a,a","c,c_or_b,b","a_or_b,a,b","a_or_d,d,a"
39,"a,b,a_and_b","c,d,c_and_d","b_or_d,b,d","c,c_and_a,a","c,c_or_b,b","a_or_b,a,b","a_or_d,d,a"
