,NARS_S1,NARS_S2,NARS_S3,BFI_S1,BFI_S2,BFI_S3,BFI_S4,BFI_S5,dep,gs3,pa,p1
130,21.0,18.0,11.0,2.125,2.7777777777777777,3.6666666666666665,3.0,2.1,12,-1.7999999999999998,0.0,0.0
131,7.0,16.0,6.0,2.125,4.333333333333333,3.7777777777777777,2.875,4.1,12,-0.6000000000000001,0.0,0.0
132,13.0,16.0,7.0,3.125,4.111111111111111,4.4444444444444455,1.625,4.7,12,0.3999999999999999,0.0,0.0
133,14.0,16.0,13.0,2.125,3.7777777777777777,3.7777777777777777,4.0,2.8,12,-0.19999999999999973,0.0,0.0
134,18.0,15.0,10.0,3.125,3.4444444444444446,3.111111111111111,2.75,3.4,12,-2.0,0.0,0.0
135,24.0,19.0,15.0,3.5,4.0,4.222222222222221,3.125,3.1,12,-2.2,0.0,0.0
136,12.0,14.0,7.0,2.375,3.6666666666666665,4.333333333333333,3.875,4.8,12,0.20000000000000018,0.0,0.0
137,13.0,12.0,9.0,4.375,4.777777777777779,5.0,1.625,3.5,12,0.8000000000000003,0.0,0.0
138,6.0,14.0,7.0,4.875,4.5555555555555545,4.4444444444444455,3.5,4.8,12,-1.2000000000000002,0.0,0.0
139,18.0,19.0,10.0,4.625,5.0,4.666666666666667,1.0,5.0,12,0.19999999999999973,0.0,0.0
140,15.0,16.0,12.0,3.125,3.6666666666666665,4.222222222222221,2.0,2.9,12,0.7999999999999998,0.0,0.0
141,18.0,20.0,7.0,1.625,3.4444444444444446,3.6666666666666665,2.875,4.1,12,0.20000000000000018,0.0,0.0
142,12.0,12.0,6.0,2.625,4.4444444444444455,4.333333333333333,1.125,3.1,12,0.3999999999999999,0.0,0.0
143,17.0,19.0,8.0,4.0,4.0,4.0,2.0,4.0,12,0.8000000000000003,0.0,0.0
144,13.0,11.0,10.0,4.125,3.888888888888889,4.4444444444444455,2.75,4.2,12,-0.8000000000000003,0.0,0.0
145,23.0,18.0,15.0,1.5,4.111111111111111,4.111111111111111,2.375,2.3,12,-0.3999999999999999,0.0,0.0
146,6.0,13.0,8.0,2.25,4.111111111111111,4.222222222222221,2.625,4.5,12,0.6000000000000001,0.0,0.0
147,8.0,8.0,5.0,3.125,4.333333333333333,5.0,1.125,3.6,12,-0.8000000000000003,0.0,0.0
148,12.0,17.0,10.0,2.125,3.7777777777777777,4.0,2.875,2.9,12,0.7999999999999998,0.0,0.0
149,7.0,16.0,8.0,4.875,4.888888888888889,5.0,1.0,5.0,12,1.2000000000000002,0.0,0.0
150,11.0,12.0,8.0,2.375,4.111111111111111,3.888888888888889,3.0,3.6,12,0.0,0.0,0.0
151,12.0,12.0,6.0,3.0,3.2222222222222223,4.5555555555555545,2.75,2.9,12,1.7999999999999998,0.0,0.0
152,27.0,23.0,15.0,1.25,3.888888888888889,3.6666666666666665,1.875,3.2,12,1.4,0.0,0.0
153,10.0,11.0,8.0,2.375,2.888888888888889,4.222222222222221,4.875,4.0,12,-0.3999999999999999,0.0,0.0
154,13.0,17.0,8.0,3.625,3.555555555555556,4.0,2.625,3.7,12,0.6000000000000001,0.0,0.0
58,17.0,22.0,14.0,1.25,3.111111111111111,3.888888888888889,2.25,1.2,01,-2.2,-0.5714285714285714,-0.14285714285714285
59,16.0,16.0,9.0,2.875,3.555555555555556,3.7777777777777777,2.125,3.2,01,0.40000000000000036,-0.7142857142857143,0.0
60,21.0,23.0,10.0,4.0,4.666666666666667,4.4444444444444455,3.25,4.2,01,-1.4,-0.7142857142857143,0.0
61,14.0,12.0,7.0,2.75,3.4444444444444446,3.0,4.5,3.9,01,0.20000000000000018,-0.5714285714285714,-0.42857142857142855
62,12.0,17.0,9.0,1.875,3.333333333333333,2.888888888888889,3.375,4.3,01,0.6000000000000001,0.2857142857142857,0.42857142857142855
63,8.0,13.0,10.0,2.25,3.555555555555556,3.7777777777777777,2.625,3.8,01,0.0,0.0,0.0
64,21.0,19.0,10.0,1.375,2.888888888888889,3.888888888888889,4.875,3.6,01,0.7999999999999998,0.28571428571428575,0.7142857142857143
65,14.0,17.0,12.0,2.0,2.4444444444444446,3.4444444444444446,2.125,3.3,01,-1.4,0.7142857142857143,0.7142857142857143
66,9.0,12.0,6.0,3.0,4.5555555555555545,4.5555555555555545,1.375,3.3,01,2.0,-0.28571428571428575,0.42857142857142855
